time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,9,4,0,0
2026-01-25 00:00:00+00:00,5,3,0,0
2026-01-26 00:00:00+00:00,5,3,6,5
2026-01-27 00:00:00+00:00,14,8,4,3
2026-01-28 00:00:00+00:00,17,10,18,6
2026-01-29 00:00:00+00:00,14,9,19,6
2026-01-30 00:00:00+00:00,8,6,7,4
2026-01-31 00:00:00+00:00,5,3,6,5
2026-02-01 00:00:00+00:00,331,73,2,2
2026-02-02 00:00:00+00:00,16,10,9,3
2026-02-03 00:00:00+00:00,7,5,5,3
2026-02-04 00:00:00+00:00,10,7,17,5
2026-02-05 00:00:00+00:00,5,3,8,4
2026-02-06 00:00:00+00:00,12,8,13,4
