time_iso8601,stars_cumulative
2021-06-15 00:00:00+00:00,1
2021-06-16 00:00:00+00:00,2
2021-06-17 00:00:00+00:00,5
2021-06-18 00:00:00+00:00,12
2021-06-19 00:00:00+00:00,13
2021-06-20 00:00:00+00:00,14
2021-06-21 00:00:00+00:00,15
2021-06-22 00:00:00+00:00,17
2021-06-29 00:00:00+00:00,21
2021-07-02 00:00:00+00:00,22
2021-07-14 00:00:00+00:00,23
2021-09-16 00:00:00+00:00,24
2021-09-30 00:00:00+00:00,25
2021-12-14 00:00:00+00:00,26
2022-02-19 00:00:00+00:00,27
2022-03-28 00:00:00+00:00,28
2022-07-07 00:00:00+00:00,29
2022-07-08 00:00:00+00:00,30
2022-08-13 00:00:00+00:00,31
2022-08-25 00:00:00+00:00,37
2022-09-22 00:00:00+00:00,38
2022-09-23 00:00:00+00:00,39
2022-10-29 00:00:00+00:00,40
2022-11-21 00:00:00+00:00,41
2022-12-02 00:00:00+00:00,42
2022-12-14 00:00:00+00:00,43
2022-12-20 00:00:00+00:00,44
2022-12-23 00:00:00+00:00,45
2022-12-30 00:00:00+00:00,46
2023-03-01 00:00:00+00:00,47
2023-05-02 00:00:00+00:00,48
2023-07-02 00:00:00+00:00,50
2023-07-05 00:00:00+00:00,51
2023-09-05 00:00:00+00:00,52
2023-10-17 00:00:00+00:00,53
2023-11-24 00:00:00+00:00,54
2024-02-07 00:00:00+00:00,55
2024-03-28 00:00:00+00:00,56
2024-04-16 00:00:00+00:00,57
2024-07-18 00:00:00+00:00,58
2024-09-05 00:00:00+00:00,59
2024-09-25 00:00:00+00:00,60
2024-09-30 00:00:00+00:00,61
2024-10-10 00:00:00+00:00,62
2024-10-18 00:00:00+00:00,63
2024-12-03 00:00:00+00:00,64
2024-12-07 00:00:00+00:00,65
2025-02-26 00:00:00+00:00,66
2025-03-18 00:00:00+00:00,67
