time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,35,21,0,0
2026-07-05 00:00:00+00:00,13,11,0,0
2026-07-06 00:00:00+00:00,16,16,0,0
2026-07-07 00:00:00+00:00,90,18,1,1
2026-07-08 00:00:00+00:00,7,7,1,1
2026-07-09 00:00:00+00:00,4,4,0,0
2026-07-10 00:00:00+00:00,18,16,0,0
2026-07-11 00:00:00+00:00,11,10,2,2
2026-07-12 00:00:00+00:00,8,7,0,0
2026-07-13 00:00:00+00:00,7,7,0,0
2026-07-14 00:00:00+00:00,46,9,1,1
2026-07-15 00:00:00+00:00,9,6,2,2
2026-07-16 00:00:00+00:00,6,6,1,1
2026-07-17 00:00:00+00:00,7,7,0,0
