time_iso8601,forks_cumulative
2022-10-07 00:00:00+00:00,1
2022-11-04 00:00:00+00:00,2
2023-09-30 00:00:00+00:00,3
2024-04-22 00:00:00+00:00,4
2024-04-30 00:00:00+00:00,5
2024-05-23 00:00:00+00:00,6
2024-05-28 00:00:00+00:00,7
2024-08-29 00:00:00+00:00,8
2024-08-31 00:00:00+00:00,9
2025-03-02 00:00:00+00:00,10
2025-03-25 00:00:00+00:00,11
2025-06-13 00:00:00+00:00,12
2025-08-13 00:00:00+00:00,14
2025-08-14 00:00:00+00:00,15
2025-08-15 00:00:00+00:00,16
2025-08-24 00:00:00+00:00,17
2025-08-25 00:00:00+00:00,18
2025-10-03 00:00:00+00:00,19
2025-10-20 00:00:00+00:00,20
2025-11-19 00:00:00+00:00,21
