time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-14 00:00:00+00:00,1.0,1.0,8,4
2025-09-15 00:00:00+00:00,2.0,2.0,20,9
2025-09-16 00:00:00+00:00,2.0,2.0,9,5
2025-09-17 00:00:00+00:00,2.0,2.0,9,8
2025-09-18 00:00:00+00:00,2.0,2.0,5,4
2025-09-19 00:00:00+00:00,2.0,2.0,12,4
2025-09-20 00:00:00+00:00,1.0,1.0,13,7
2025-09-21 00:00:00+00:00,3.0,3.0,30,3
2025-09-22 00:00:00+00:00,1.0,1.0,34,10
2025-09-23 00:00:00+00:00,1.0,1.0,12,7
2025-09-24 00:00:00+00:00,4.0,4.0,11,8
2025-09-25 00:00:00+00:00,3.0,3.0,90,16
2025-09-26 00:00:00+00:00,1.0,1.0,7,5
2025-09-27 00:00:00+00:00,,,12,3
