time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,0,0,26,8
2024-10-24 00:00:00+00:00,0,0,157,6
2024-10-25 00:00:00+00:00,0,0,13,2
2024-10-26 00:00:00+00:00,1,1,3,1
2024-10-27 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,0,0,18,4
2024-10-29 00:00:00+00:00,0,0,103,5
2024-10-30 00:00:00+00:00,0,0,59,8
2024-10-31 00:00:00+00:00,0,0,14,5
2024-11-01 00:00:00+00:00,0,0,7,3
2024-11-02 00:00:00+00:00,0,0,1,1
2024-11-03 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,1,1,5,4
2024-11-05 00:00:00+00:00,1,1,70,12
2024-11-06 00:00:00+00:00,0,0,12,2
2024-11-07 00:00:00+00:00,0,0,7,2
2024-11-08 00:00:00+00:00,1,1,11,3
2024-11-10 00:00:00+00:00,0,0,2,1
2024-11-11 00:00:00+00:00,0,0,34,8
2024-11-12 00:00:00+00:00,0,0,29,5
2024-11-13 00:00:00+00:00,0,0,2,2
2024-11-14 00:00:00+00:00,0,0,15,4
2024-11-15 00:00:00+00:00,0,0,19,4
2024-11-16 00:00:00+00:00,0,0,16,3
2024-11-17 00:00:00+00:00,0,0,2,2
2024-11-18 00:00:00+00:00,0,0,10,2
2024-11-19 00:00:00+00:00,0,0,7,3
2024-11-20 00:00:00+00:00,0,0,5,4
2024-11-21 00:00:00+00:00,1,1,30,3
2024-11-22 00:00:00+00:00,3,2,32,7
2024-11-23 00:00:00+00:00,0,0,4,1
2024-11-24 00:00:00+00:00,0,0,9,2
2024-11-25 00:00:00+00:00,0,0,13,5
2024-11-26 00:00:00+00:00,1,1,9,4
2024-11-27 00:00:00+00:00,0,0,56,9
2024-11-28 00:00:00+00:00,0,0,10,4
2024-11-29 00:00:00+00:00,0,0,5,4
2024-12-01 00:00:00+00:00,0,0,35,3
2024-12-02 00:00:00+00:00,0,0,5,3
2024-12-03 00:00:00+00:00,2,2,18,6
2024-12-04 00:00:00+00:00,0,0,5,3
2024-12-05 00:00:00+00:00,0,0,110,5
2024-12-06 00:00:00+00:00,0,0,31,3
2024-12-07 00:00:00+00:00,0,0,13,3
