time_iso8601,forks_cumulative
2018-06-30 00:00:00+00:00,1
2018-07-02 00:00:00+00:00,2
2018-07-22 00:00:00+00:00,3
2018-07-30 00:00:00+00:00,4
2018-10-23 00:00:00+00:00,5
2018-11-20 00:00:00+00:00,6
2018-12-30 00:00:00+00:00,7
2019-01-07 00:00:00+00:00,8
2019-02-25 00:00:00+00:00,9
2019-05-15 00:00:00+00:00,10
2019-07-02 00:00:00+00:00,11
2019-07-22 00:00:00+00:00,12
2019-08-14 00:00:00+00:00,13
2019-08-22 00:00:00+00:00,14
2019-09-10 00:00:00+00:00,15
2019-09-11 00:00:00+00:00,16
2019-09-25 00:00:00+00:00,17
2019-11-01 00:00:00+00:00,18
2019-11-13 00:00:00+00:00,19
2019-11-17 00:00:00+00:00,20
2020-03-11 00:00:00+00:00,21
2020-04-07 00:00:00+00:00,22
2020-04-09 00:00:00+00:00,23
2020-07-18 00:00:00+00:00,24
2020-08-10 00:00:00+00:00,25
2020-08-24 00:00:00+00:00,26
2020-10-21 00:00:00+00:00,27
2020-11-06 00:00:00+00:00,28
2021-05-27 00:00:00+00:00,29
2021-07-12 00:00:00+00:00,30
2021-08-20 00:00:00+00:00,31
2021-12-27 00:00:00+00:00,33
2022-04-28 00:00:00+00:00,34
2022-07-15 00:00:00+00:00,35
2023-01-12 00:00:00+00:00,36
2023-01-14 00:00:00+00:00,37
2023-08-31 00:00:00+00:00,38
2024-03-30 00:00:00+00:00,39
2024-05-09 00:00:00+00:00,40
2024-06-21 00:00:00+00:00,41
2024-07-09 00:00:00+00:00,42
2024-12-17 00:00:00+00:00,43
2025-02-07 00:00:00+00:00,44
2025-04-09 00:00:00+00:00,45
2025-04-25 00:00:00+00:00,46
2025-08-10 00:00:00+00:00,47
2025-08-13 00:00:00+00:00,49
