time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-19 00:00:00+00:00,8,7,6.0,6.0
2025-10-20 00:00:00+00:00,4,4,5.0,4.0
2025-10-21 00:00:00+00:00,7,7,3.0,3.0
2025-10-22 00:00:00+00:00,9,8,7.0,3.0
2025-10-23 00:00:00+00:00,7,7,38.0,3.0
2025-10-24 00:00:00+00:00,9,8,,
2025-10-25 00:00:00+00:00,5,5,2.0,2.0
2025-10-26 00:00:00+00:00,3,3,5.0,5.0
2025-10-27 00:00:00+00:00,8,7,9.0,6.0
2025-10-28 00:00:00+00:00,9,7,51.0,8.0
2025-10-29 00:00:00+00:00,14,12,31.0,9.0
2025-10-30 00:00:00+00:00,4,4,4.0,1.0
2025-10-31 00:00:00+00:00,7,4,35.0,8.0
2025-11-01 00:00:00+00:00,1,1,2.0,2.0
