time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-29 00:00:00+00:00,,,2,2
2024-12-30 00:00:00+00:00,1.0,1.0,37,1
2024-12-31 00:00:00+00:00,,,1,1
2025-01-02 00:00:00+00:00,1.0,1.0,47,4
2025-01-03 00:00:00+00:00,1.0,1.0,84,8
2025-01-04 00:00:00+00:00,,,4,1
2025-01-05 00:00:00+00:00,,,2,2
2025-01-06 00:00:00+00:00,90.0,3.0,113,9
2025-01-07 00:00:00+00:00,,,6,2
2025-01-08 00:00:00+00:00,23.0,2.0,83,8
2025-01-09 00:00:00+00:00,44.0,1.0,108,6
2025-01-10 00:00:00+00:00,11.0,1.0,65,5
2025-01-11 00:00:00+00:00,,,1,1
