time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-14 00:00:00+00:00,95,15,28,10
2025-09-15 00:00:00+00:00,458,31,19,12
2025-09-16 00:00:00+00:00,560,35,17,10
2025-09-17 00:00:00+00:00,458,62,56,6
2025-09-18 00:00:00+00:00,539,85,32,7
2025-09-19 00:00:00+00:00,238,45,33,9
2025-09-20 00:00:00+00:00,109,17,24,10
2025-09-21 00:00:00+00:00,404,19,32,5
2025-09-22 00:00:00+00:00,682,64,33,8
2025-09-23 00:00:00+00:00,544,45,34,13
2025-09-24 00:00:00+00:00,785,62,55,14
2025-09-25 00:00:00+00:00,672,51,91,8
2025-09-26 00:00:00+00:00,446,44,94,10
2025-09-27 00:00:00+00:00,51,23,26,7
