time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,5,5,0,0
2026-05-24 00:00:00+00:00,14,14,0,0
2026-05-25 00:00:00+00:00,35,15,0,0
2026-05-26 00:00:00+00:00,72,43,3,1
2026-05-27 00:00:00+00:00,53,28,0,0
2026-05-28 00:00:00+00:00,114,56,2,1
2026-05-29 00:00:00+00:00,2,2,0,0
2026-05-30 00:00:00+00:00,5,3,1,1
2026-05-31 00:00:00+00:00,14,13,1,1
2026-06-01 00:00:00+00:00,4,2,2,1
2026-06-02 00:00:00+00:00,1,1,2,1
2026-06-03 00:00:00+00:00,8,7,6,1
2026-06-04 00:00:00+00:00,5,5,0,0
2026-06-05 00:00:00+00:00,12,10,0,0
