time_iso8601,forks_cumulative
2017-05-16 00:00:00+00:00,1
2017-05-17 00:00:00+00:00,2
2017-05-20 00:00:00+00:00,3
2017-06-14 00:00:00+00:00,4
2017-07-31 00:00:00+00:00,5
2018-02-05 00:00:00+00:00,6
2018-03-30 00:00:00+00:00,7
2018-04-01 00:00:00+00:00,8
2018-10-08 00:00:00+00:00,9
2018-10-19 00:00:00+00:00,10
2018-11-05 00:00:00+00:00,11
2019-01-03 00:00:00+00:00,12
2019-01-29 00:00:00+00:00,13
2019-03-18 00:00:00+00:00,14
2019-05-21 00:00:00+00:00,15
2019-08-14 00:00:00+00:00,16
2020-02-22 00:00:00+00:00,17
2020-03-07 00:00:00+00:00,18
2020-04-23 00:00:00+00:00,20
2020-05-07 00:00:00+00:00,21
2020-05-25 00:00:00+00:00,22
2020-05-29 00:00:00+00:00,23
2020-07-22 00:00:00+00:00,24
2020-10-29 00:00:00+00:00,25
2020-12-31 00:00:00+00:00,26
2021-02-25 00:00:00+00:00,27
2021-04-10 00:00:00+00:00,28
2021-06-29 00:00:00+00:00,29
2021-07-26 00:00:00+00:00,30
2022-01-30 00:00:00+00:00,31
2022-02-28 00:00:00+00:00,32
2022-08-12 00:00:00+00:00,33
2022-10-25 00:00:00+00:00,35
2022-11-04 00:00:00+00:00,36
2023-01-30 00:00:00+00:00,37
2023-04-20 00:00:00+00:00,38
2023-08-31 00:00:00+00:00,39
2024-03-08 00:00:00+00:00,40
2025-02-12 00:00:00+00:00,41
2025-03-19 00:00:00+00:00,42
2026-01-24 00:00:00+00:00,43
