time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-09 00:00:00+00:00,15,14,,
2025-11-10 00:00:00+00:00,20,18,8.0,5.0
2025-11-11 00:00:00+00:00,15,13,5.0,2.0
2025-11-12 00:00:00+00:00,8,8,3.0,3.0
2025-11-13 00:00:00+00:00,8,5,8.0,3.0
2025-11-14 00:00:00+00:00,10,6,3.0,3.0
2025-11-15 00:00:00+00:00,4,4,1.0,1.0
2025-11-16 00:00:00+00:00,6,6,2.0,2.0
2025-11-17 00:00:00+00:00,3,3,4.0,4.0
2025-11-18 00:00:00+00:00,15,9,1.0,1.0
2025-11-19 00:00:00+00:00,4,3,,
2025-11-20 00:00:00+00:00,5,4,3.0,2.0
2025-11-21 00:00:00+00:00,58,12,5.0,2.0
2025-11-22 00:00:00+00:00,6,6,,
