url_path,views_total,views_unique
/morganstanley/desktopJS,10,9
/morganstanley/desktopJS/issues,3,3
/morganstanley/desktopJS/pulls,3,3
/morganstanley/desktopJS/issues/551,3,2
/MorganStanley/desktopJS,2,2
/morganstanley/desktopJS/discussions,2,2
/morganstanley/desktopJS/labels,2,2
/morganstanley/desktopJS/blob/4c5ba5859b6e90b263a325973bd0bb272bac42c7/package.json,2,1
/morganstanley/desktopJS/actions,1,1
/morganstanley/desktopJS/blob/4c5ba5859b6e90b263a325973bd0bb272bac42c7/examples/electron/package.json,1,1
