time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,1,1,0,0
2024-10-24 00:00:00+00:00,3,3,3,3
2024-10-25 00:00:00+00:00,0,0,1,1
2024-10-26 00:00:00+00:00,1,1,0,0
2024-10-27 00:00:00+00:00,1,1,0,0
2024-10-28 00:00:00+00:00,0,0,28,3
2024-10-29 00:00:00+00:00,0,0,21,4
2024-10-30 00:00:00+00:00,2,2,6,2
2024-10-31 00:00:00+00:00,1,1,7,2
2024-11-01 00:00:00+00:00,61,6,0,0
2024-11-02 00:00:00+00:00,1,1,0,0
2024-11-03 00:00:00+00:00,0,0,5,2
2024-11-04 00:00:00+00:00,2,2,1,1
2024-11-05 00:00:00+00:00,0,0,7,2
2024-11-06 00:00:00+00:00,1,1,6,2
2024-11-07 00:00:00+00:00,1,1,1,1
2024-11-09 00:00:00+00:00,1,1,5,1
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-12 00:00:00+00:00,1,1,0,0
2024-11-13 00:00:00+00:00,1,1,23,5
2024-11-14 00:00:00+00:00,2,2,16,5
2024-11-16 00:00:00+00:00,2,2,5,1
2024-11-17 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,0,0,3,2
2024-11-19 00:00:00+00:00,0,0,8,1
2024-11-20 00:00:00+00:00,1,1,0,0
2024-11-21 00:00:00+00:00,1,1,0,0
2024-11-22 00:00:00+00:00,0,0,4,1
2024-11-23 00:00:00+00:00,1,1,5,2
2024-11-25 00:00:00+00:00,0,0,1,1
2024-11-27 00:00:00+00:00,1,1,1,1
2024-11-28 00:00:00+00:00,0,0,1,1
2024-11-29 00:00:00+00:00,0,0,1,1
2024-11-30 00:00:00+00:00,2,2,0,0
2024-12-01 00:00:00+00:00,21,7,0,0
2024-12-02 00:00:00+00:00,2,2,1,1
2024-12-03 00:00:00+00:00,0,0,8,2
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-05 00:00:00+00:00,0,0,1,1
2024-12-07 00:00:00+00:00,1,1,0,0
2024-12-08 00:00:00+00:00,0,0,7,1
2024-12-09 00:00:00+00:00,0,0,4,1
2024-12-10 00:00:00+00:00,0,0,7,2
2024-12-11 00:00:00+00:00,9,3,8,3
2024-12-12 00:00:00+00:00,0,0,12,1
2024-12-13 00:00:00+00:00,1,1,11,3
2024-12-14 00:00:00+00:00,2,2,0,0
2024-12-15 00:00:00+00:00,0,0,3,2
2024-12-16 00:00:00+00:00,0,0,6,2
2024-12-17 00:00:00+00:00,2,1,0,0
2024-12-18 00:00:00+00:00,1,1,1,1
2024-12-19 00:00:00+00:00,0,0,2,2
2024-12-20 00:00:00+00:00,0,0,5,2
2024-12-21 00:00:00+00:00,1,1,0,0
2024-12-23 00:00:00+00:00,0,0,1,1
2024-12-25 00:00:00+00:00,2,2,10,2
2024-12-27 00:00:00+00:00,0,0,1,1
2024-12-28 00:00:00+00:00,1,1,3,2
