url_path,views_total,views_unique
/morganstanley/dotnet-please/pull/113,6,1
/morganstanley/dotnet-please,5,5
/morganstanley/dotnet-please/pulls,4,2
/morganstanley/dotnet-please/pull/111,2,2
/morganstanley/dotnet-please/pull/111/files,2,2
/morganstanley/dotnet-please/actions/runs/11630060115/job/32388215642,2,1
/morganstanley/dotnet-please/pull/112,2,1
/morganstanley/dotnet-please/blob/e1d2db50a36bff9783bd7960b1d12eb720cfb4f9/DotNetPlease/App.cs,1,1
/morganstanley/dotnet-please/blob/main/build-and-install.ps1,1,1
/morganstanley/dotnet-please/issues,1,1
