time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,4,4,2,2
2026-03-29 00:00:00+00:00,2,2,0,0
2026-03-30 00:00:00+00:00,3,3,3,2
2026-03-31 00:00:00+00:00,30,15,36,9
2026-04-01 00:00:00+00:00,88,30,29,5
2026-04-02 00:00:00+00:00,5,5,7,1
2026-04-03 00:00:00+00:00,6,5,2,2
2026-04-04 00:00:00+00:00,2,2,3,3
2026-04-05 00:00:00+00:00,3,2,1,1
2026-04-06 00:00:00+00:00,7,7,6,4
2026-04-07 00:00:00+00:00,26,17,12,2
2026-04-08 00:00:00+00:00,4,4,3,3
2026-04-09 00:00:00+00:00,6,6,2,2
2026-04-10 00:00:00+00:00,22,12,4,3
