time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-24 00:00:00+00:00,1,1,0,0
2024-10-25 00:00:00+00:00,0,0,3,1
2024-10-26 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,1,1,0,0
2024-10-29 00:00:00+00:00,1,1,2,2
2024-11-01 00:00:00+00:00,41,6,20,2
2024-11-03 00:00:00+00:00,0,0,2,2
2024-11-04 00:00:00+00:00,2,2,1,1
2024-11-05 00:00:00+00:00,3,1,1,1
2024-11-07 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,1,1,2,1
2024-11-12 00:00:00+00:00,1,1,0,0
2024-11-13 00:00:00+00:00,1,1,42,4
2024-11-15 00:00:00+00:00,0,0,6,2
2024-11-18 00:00:00+00:00,1,1,3,2
2024-11-19 00:00:00+00:00,1,1,2,2
2024-11-23 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,1,1,1,1
2024-11-26 00:00:00+00:00,1,1,1,1
2024-12-01 00:00:00+00:00,6,2,3,1
2024-12-02 00:00:00+00:00,3,3,1,1
2024-12-03 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,0,0,1,1
2024-12-05 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,0,0,1,1
2024-12-07 00:00:00+00:00,0,0,1,1
2024-12-09 00:00:00+00:00,1,1,0,0
2024-12-10 00:00:00+00:00,1,1,1,1
2024-12-12 00:00:00+00:00,1,1,0,0
