time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,51,14,0,0
2026-08-02 00:00:00+00:00,5,5,0,0
2026-08-03 00:00:00+00:00,212,30,75,7
2026-08-04 00:00:00+00:00,7,7,8,8
2026-08-05 00:00:00+00:00,7,6,0,0
2026-08-06 00:00:00+00:00,2,2,0,0
2026-08-07 00:00:00+00:00,5,3,0,0
2026-08-08 00:00:00+00:00,2,2,0,0
2026-08-09 00:00:00+00:00,2,2,5,5
2026-08-10 00:00:00+00:00,6,6,0,0
2026-08-11 00:00:00+00:00,2,2,0,0
2026-08-12 00:00:00+00:00,34,17,0,0
2026-08-13 00:00:00+00:00,2,2,0,0
2026-08-14 00:00:00+00:00,4,4,1,1
