time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-26 00:00:00+00:00,1,1,0,0
2024-10-28 00:00:00+00:00,0,0,1,1
2024-10-30 00:00:00+00:00,0,0,1,1
2024-10-31 00:00:00+00:00,167,15,119,7
2024-11-01 00:00:00+00:00,19,4,21,7
2024-11-02 00:00:00+00:00,1,1,7,7
2024-11-03 00:00:00+00:00,0,0,2,1
2024-11-04 00:00:00+00:00,1,1,15,3
2024-11-06 00:00:00+00:00,1,1,1,1
2024-11-07 00:00:00+00:00,7,2,10,1
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-09 00:00:00+00:00,0,0,2,1
2024-11-10 00:00:00+00:00,0,0,3,3
2024-11-11 00:00:00+00:00,1,1,5,1
2024-11-12 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,2,2,1,1
2024-11-14 00:00:00+00:00,0,0,8,1
2024-11-16 00:00:00+00:00,0,0,1,1
