url_path,views_total,views_unique
/morganstanley/fdc3-web,21,11
/morganstanley/fdc3-web/pull/322,6,3
/morganstanley/fdc3-web/pull/334,5,3
/morganstanley/fdc3-web/blob/b9b5db1bb31a9feaf43ad0b8f3fda355b1d1ac2c/projects/fdc3-web/src/app-directory/directory.ts,4,2
/morganstanley/fdc3-web/blob/main/projects/fdc3-web/src/helpers/url-helper.ts,3,2
/morganstanley/fdc3-web/pulls,3,1
/morganstanley/fdc3-web/tree/main/projects,2,2
/morganstanley/fdc3-web/tree/main/projects/fdc3-web,2,2
/morganstanley/fdc3-web/tree/main/projects/fdc3-web/src,2,2
/morganstanley/fdc3-web/actions/runs/25114494049,1,1
