time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-11 00:00:00+00:00,0,0,7,1
2025-02-12 00:00:00+00:00,0,0,2,2
2025-02-18 00:00:00+00:00,0,0,1,1
2025-02-20 00:00:00+00:00,27,12,185,6
2025-02-21 00:00:00+00:00,50,17,134,8
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-23 00:00:00+00:00,1,1,3,1
2025-02-24 00:00:00+00:00,4,3,0,0
2025-02-25 00:00:00+00:00,0,0,15,2
2025-02-26 00:00:00+00:00,1,1,25,4
2025-02-27 00:00:00+00:00,0,0,8,1
2025-02-28 00:00:00+00:00,0,0,11,2
2025-03-01 00:00:00+00:00,36,11,15,1
2025-03-02 00:00:00+00:00,22,7,2,1
2025-03-03 00:00:00+00:00,53,14,195,6
2025-03-04 00:00:00+00:00,21,6,149,15
2025-03-05 00:00:00+00:00,11,6,42,7
2025-03-06 00:00:00+00:00,4,3,15,3
2025-03-07 00:00:00+00:00,810,59,367,6
2025-03-08 00:00:00+00:00,889,61,138,3
2025-03-09 00:00:00+00:00,23,9,3,2
2025-03-10 00:00:00+00:00,30,11,78,5
2025-03-11 00:00:00+00:00,24,8,78,8
2025-03-12 00:00:00+00:00,1,1,29,8
2025-03-13 00:00:00+00:00,3,2,9,3
2025-03-14 00:00:00+00:00,3,3,44,4
2025-03-15 00:00:00+00:00,1,1,6,2
2025-03-17 00:00:00+00:00,1,1,6,4
2025-03-18 00:00:00+00:00,1,1,8,3
2025-03-19 00:00:00+00:00,15,7,67,5
2025-03-20 00:00:00+00:00,3,3,18,4
2025-03-21 00:00:00+00:00,7,4,25,4
2025-03-22 00:00:00+00:00,3,2,22,3
2025-03-23 00:00:00+00:00,0,0,3,3
2025-03-24 00:00:00+00:00,9,2,27,4
2025-03-25 00:00:00+00:00,0,0,9,4
2025-03-26 00:00:00+00:00,4,2,19,4
2025-03-27 00:00:00+00:00,0,0,8,3
2025-03-28 00:00:00+00:00,0,0,5,2
2025-03-29 00:00:00+00:00,0,0,1,1
2025-03-30 00:00:00+00:00,0,0,1,1
2025-03-31 00:00:00+00:00,5,3,10,1
2025-04-01 00:00:00+00:00,29,5,4,4
2025-04-02 00:00:00+00:00,350,49,120,2
2025-04-03 00:00:00+00:00,12,5,7,2
2025-04-04 00:00:00+00:00,0,0,4,1
2025-04-05 00:00:00+00:00,1,1,0,0
2025-04-07 00:00:00+00:00,1,1,2,1
2025-04-08 00:00:00+00:00,0,0,5,1
2025-04-09 00:00:00+00:00,3,3,0,0
2025-04-10 00:00:00+00:00,0,0,1,1
2025-04-11 00:00:00+00:00,7,1,32,1
2025-04-12 00:00:00+00:00,0,0,6,5
2025-04-13 00:00:00+00:00,2,1,0,0
2025-04-14 00:00:00+00:00,1,1,9,4
2025-04-15 00:00:00+00:00,0,0,1,1
2025-04-16 00:00:00+00:00,2,2,13,4
2025-04-17 00:00:00+00:00,6,3,33,4
2025-04-18 00:00:00+00:00,6,1,12,4
2025-04-20 00:00:00+00:00,1,1,2,1
2025-04-21 00:00:00+00:00,1,1,1,1
2025-04-22 00:00:00+00:00,0,0,13,1
2025-04-23 00:00:00+00:00,1,1,5,1
2025-04-24 00:00:00+00:00,2,1,12,2
2025-04-25 00:00:00+00:00,0,0,1,1
2025-04-28 00:00:00+00:00,1,1,2,1
2025-04-29 00:00:00+00:00,4,3,5,2
2025-04-30 00:00:00+00:00,22,9,16,4
2025-05-01 00:00:00+00:00,28,2,25,4
2025-05-02 00:00:00+00:00,52,16,13,3
2025-05-03 00:00:00+00:00,5,4,0,0
2025-05-04 00:00:00+00:00,0,0,1,1
2025-05-05 00:00:00+00:00,1,1,2,1
2025-05-06 00:00:00+00:00,0,0,2,1
2025-05-07 00:00:00+00:00,490,45,21,11
2025-05-08 00:00:00+00:00,13,5,19,11
2025-05-09 00:00:00+00:00,2,1,15,6
2025-05-10 00:00:00+00:00,1,1,2,1
2025-05-11 00:00:00+00:00,34,7,0,0
2025-05-12 00:00:00+00:00,17,7,67,7
2025-05-13 00:00:00+00:00,27,9,104,6
2025-05-14 00:00:00+00:00,166,40,131,4
2025-05-15 00:00:00+00:00,33,15,71,11
2025-05-16 00:00:00+00:00,20,9,35,8
2025-05-17 00:00:00+00:00,50,16,29,6
2025-05-18 00:00:00+00:00,11,3,1,1
2025-05-19 00:00:00+00:00,16,8,38,6
2025-05-20 00:00:00+00:00,23,5,20,2
2025-05-21 00:00:00+00:00,2,2,14,4
2025-05-22 00:00:00+00:00,8,2,7,7
2025-05-24 00:00:00+00:00,1,1,0,0
