time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-24 00:00:00+00:00,2,2,7,6
2025-08-25 00:00:00+00:00,5,4,8,5
2025-08-26 00:00:00+00:00,1,1,16,13
2025-08-27 00:00:00+00:00,3,2,4,4
2025-08-28 00:00:00+00:00,2,2,7,7
2025-08-29 00:00:00+00:00,4,3,23,10
2025-08-30 00:00:00+00:00,2,2,2,2
2025-08-31 00:00:00+00:00,2,2,4,2
2025-09-01 00:00:00+00:00,2,2,1,1
2025-09-02 00:00:00+00:00,2,2,6,5
2025-09-03 00:00:00+00:00,1,1,23,6
2025-09-04 00:00:00+00:00,53,28,14,5
2025-09-05 00:00:00+00:00,1,1,18,9
2025-09-06 00:00:00+00:00,4,4,15,5
