time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,0,0,2,2
2024-10-23 00:00:00+00:00,0,0,38,8
2024-10-24 00:00:00+00:00,44,3,346,14
2024-10-25 00:00:00+00:00,23,2,138,13
2024-10-26 00:00:00+00:00,17,5,10,5
2024-10-27 00:00:00+00:00,1,1,15,11
2024-10-28 00:00:00+00:00,0,0,23,6
2024-10-29 00:00:00+00:00,0,0,7,6
2024-10-30 00:00:00+00:00,1,1,139,5
2024-10-31 00:00:00+00:00,0,0,7,4
2024-11-01 00:00:00+00:00,3,2,64,6
2024-11-02 00:00:00+00:00,1,1,6,3
2024-11-03 00:00:00+00:00,0,0,11,3
2024-11-04 00:00:00+00:00,1,1,9,5
2024-11-05 00:00:00+00:00,1,1,9,7
2024-11-06 00:00:00+00:00,0,0,20,6
2024-11-07 00:00:00+00:00,0,0,7,6
2024-11-08 00:00:00+00:00,0,0,18,5
2024-11-09 00:00:00+00:00,0,0,4,3
