time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,12,9,3,2
2026-05-31 00:00:00+00:00,8,6,1,1
2026-06-01 00:00:00+00:00,59,15,3,2
2026-06-02 00:00:00+00:00,178,45,7,1
2026-06-03 00:00:00+00:00,10,9,1,1
2026-06-04 00:00:00+00:00,7,7,1,1
2026-06-05 00:00:00+00:00,8,7,0,0
2026-06-06 00:00:00+00:00,12,8,1,1
2026-06-07 00:00:00+00:00,9,9,0,0
2026-06-08 00:00:00+00:00,526,39,8,2
2026-06-09 00:00:00+00:00,9,8,1,1
2026-06-10 00:00:00+00:00,12,9,0,0
2026-06-11 00:00:00+00:00,11,8,1,1
2026-06-12 00:00:00+00:00,12,8,4,2
