time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,1,1,12,6
2024-10-24 00:00:00+00:00,6,3,8,2
2024-10-26 00:00:00+00:00,0,0,2,1
2024-10-27 00:00:00+00:00,0,0,5,3
2024-10-28 00:00:00+00:00,22,2,12,2
2024-10-29 00:00:00+00:00,0,0,2,2
2024-10-30 00:00:00+00:00,1,1,16,4
2024-10-31 00:00:00+00:00,9,4,33,4
2024-11-01 00:00:00+00:00,0,0,27,1
2024-11-02 00:00:00+00:00,2,2,7,3
2024-11-03 00:00:00+00:00,0,0,5,3
2024-11-04 00:00:00+00:00,15,3,5,3
2024-11-05 00:00:00+00:00,0,0,19,3
2024-11-06 00:00:00+00:00,1,1,2,2
2024-11-07 00:00:00+00:00,0,0,1,1
2024-11-08 00:00:00+00:00,0,0,4,3
