time_iso8601,forks_cumulative
2020-09-24 00:00:00+00:00,1
2020-10-17 00:00:00+00:00,2
2020-11-02 00:00:00+00:00,4
2020-11-06 00:00:00+00:00,5
2020-12-09 00:00:00+00:00,6
2020-12-11 00:00:00+00:00,7
2021-02-18 00:00:00+00:00,8
2021-02-24 00:00:00+00:00,9
2021-02-25 00:00:00+00:00,10
2021-02-26 00:00:00+00:00,12
2021-04-07 00:00:00+00:00,13
2021-04-23 00:00:00+00:00,14
2021-04-25 00:00:00+00:00,15
2021-05-10 00:00:00+00:00,16
2021-05-25 00:00:00+00:00,17
2021-06-08 00:00:00+00:00,18
2021-06-24 00:00:00+00:00,19
2021-06-26 00:00:00+00:00,20
2021-07-01 00:00:00+00:00,21
2021-07-04 00:00:00+00:00,22
2021-07-10 00:00:00+00:00,23
2021-07-24 00:00:00+00:00,24
2021-07-25 00:00:00+00:00,25
2021-07-27 00:00:00+00:00,26
2021-08-20 00:00:00+00:00,27
2021-08-26 00:00:00+00:00,28
2021-09-17 00:00:00+00:00,29
2021-09-23 00:00:00+00:00,30
2021-09-27 00:00:00+00:00,31
2021-10-04 00:00:00+00:00,32
2021-10-08 00:00:00+00:00,33
2021-11-01 00:00:00+00:00,34
2021-11-12 00:00:00+00:00,35
2021-12-28 00:00:00+00:00,36
2022-01-10 00:00:00+00:00,37
2022-01-20 00:00:00+00:00,38
2022-02-06 00:00:00+00:00,39
2022-02-22 00:00:00+00:00,40
2022-02-25 00:00:00+00:00,41
2022-03-08 00:00:00+00:00,42
2022-03-10 00:00:00+00:00,43
2022-03-14 00:00:00+00:00,44
2022-03-22 00:00:00+00:00,45
2022-04-05 00:00:00+00:00,46
2022-04-10 00:00:00+00:00,47
2022-04-25 00:00:00+00:00,48
2022-04-26 00:00:00+00:00,49
2022-04-28 00:00:00+00:00,50
2022-05-16 00:00:00+00:00,51
2022-07-08 00:00:00+00:00,52
2022-07-28 00:00:00+00:00,53
2022-08-15 00:00:00+00:00,54
2022-09-13 00:00:00+00:00,55
2022-09-20 00:00:00+00:00,56
2022-09-27 00:00:00+00:00,57
2022-09-28 00:00:00+00:00,58
2022-10-03 00:00:00+00:00,59
2022-10-25 00:00:00+00:00,62
2022-11-04 00:00:00+00:00,63
2022-11-16 00:00:00+00:00,64
2022-11-23 00:00:00+00:00,65
2022-12-12 00:00:00+00:00,66
2022-12-13 00:00:00+00:00,67
2023-02-09 00:00:00+00:00,68
2023-03-07 00:00:00+00:00,69
2023-04-01 00:00:00+00:00,70
2023-04-03 00:00:00+00:00,71
2023-06-20 00:00:00+00:00,72
2023-07-02 00:00:00+00:00,73
2023-07-18 00:00:00+00:00,74
2023-08-22 00:00:00+00:00,75
2023-08-27 00:00:00+00:00,76
2023-10-03 00:00:00+00:00,77
2023-12-23 00:00:00+00:00,78
2024-01-03 00:00:00+00:00,79
2024-01-16 00:00:00+00:00,80
2024-02-02 00:00:00+00:00,81
2024-03-20 00:00:00+00:00,82
2024-06-07 00:00:00+00:00,83
2024-08-06 00:00:00+00:00,84
2024-09-05 00:00:00+00:00,85
2024-10-02 00:00:00+00:00,87
2024-10-09 00:00:00+00:00,88
