time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,88,31,10,6
2026-01-25 00:00:00+00:00,92,21,15,10
2026-01-26 00:00:00+00:00,966,57,158,27
2026-01-27 00:00:00+00:00,579,77,76,20
2026-01-28 00:00:00+00:00,1621,53,66,23
2026-01-29 00:00:00+00:00,2086,60,35,14
2026-01-30 00:00:00+00:00,1707,50,67,21
2026-01-31 00:00:00+00:00,2149,32,25,11
2026-02-01 00:00:00+00:00,470,28,10,7
2026-02-02 00:00:00+00:00,1181,52,27,17
2026-02-03 00:00:00+00:00,1552,67,59,22
2026-02-04 00:00:00+00:00,1325,75,91,32
2026-02-05 00:00:00+00:00,2049,79,65,17
2026-02-06 00:00:00+00:00,2937,65,34,14
