time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-28 00:00:00+00:00,4,4,1,1
2025-09-29 00:00:00+00:00,6,5,14,4
2025-09-30 00:00:00+00:00,6,5,7,7
2025-10-01 00:00:00+00:00,126,11,5,5
2025-10-02 00:00:00+00:00,62,10,21,7
2025-10-03 00:00:00+00:00,3,3,6,6
2025-10-04 00:00:00+00:00,4,4,3,3
2025-10-05 00:00:00+00:00,1,1,7,7
2025-10-06 00:00:00+00:00,7,6,7,7
2025-10-07 00:00:00+00:00,3,3,7,6
2025-10-08 00:00:00+00:00,4,4,6,4
2025-10-09 00:00:00+00:00,6,5,39,10
2025-10-10 00:00:00+00:00,64,18,3,3
2025-10-11 00:00:00+00:00,5,5,1,1
