time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,0,0,2,1
2024-10-24 00:00:00+00:00,2,2,1,1
2024-10-25 00:00:00+00:00,0,0,12,1
2024-10-26 00:00:00+00:00,0,0,2,2
2024-10-28 00:00:00+00:00,0,0,10,2
2024-10-29 00:00:00+00:00,1,1,0,0
2024-10-30 00:00:00+00:00,0,0,1,1
2024-10-31 00:00:00+00:00,0,0,1,1
2024-11-02 00:00:00+00:00,0,0,1,1
2024-11-03 00:00:00+00:00,1,1,1,1
2024-11-05 00:00:00+00:00,2,1,8,4
2024-11-06 00:00:00+00:00,0,0,2,2
2024-11-07 00:00:00+00:00,0,0,1,1
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-09 00:00:00+00:00,0,0,1,1
2024-11-10 00:00:00+00:00,1,1,0,0
2024-11-11 00:00:00+00:00,0,0,1,1
2024-11-12 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,1,1,4,2
2024-11-14 00:00:00+00:00,345,11,70,3
2024-11-15 00:00:00+00:00,1,1,5,1
2024-11-16 00:00:00+00:00,2,2,12,2
2024-11-18 00:00:00+00:00,2,1,1,1
2024-11-19 00:00:00+00:00,0,0,1,1
2024-11-20 00:00:00+00:00,1,1,1,1
2024-11-21 00:00:00+00:00,0,0,4,2
2024-11-22 00:00:00+00:00,0,0,2,1
2024-11-23 00:00:00+00:00,0,0,2,1
2024-11-25 00:00:00+00:00,2,1,4,2
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-27 00:00:00+00:00,1,1,0,0
2024-11-29 00:00:00+00:00,0,0,7,3
2024-11-30 00:00:00+00:00,0,0,1,1
