time_iso8601,forks_cumulative
2022-03-04 00:00:00+00:00,1
2022-03-05 00:00:00+00:00,2
2022-05-18 00:00:00+00:00,3
2022-11-04 00:00:00+00:00,4
2022-11-15 00:00:00+00:00,5
2023-02-24 00:00:00+00:00,6
2023-03-27 00:00:00+00:00,7
2023-04-15 00:00:00+00:00,8
2023-05-20 00:00:00+00:00,9
2023-07-17 00:00:00+00:00,10
2023-08-01 00:00:00+00:00,11
2023-08-07 00:00:00+00:00,12
2023-11-11 00:00:00+00:00,13
2024-01-30 00:00:00+00:00,14
2024-05-21 00:00:00+00:00,15
2024-11-23 00:00:00+00:00,16
2024-11-28 00:00:00+00:00,17
2024-11-29 00:00:00+00:00,18
2024-12-05 00:00:00+00:00,19
2024-12-18 00:00:00+00:00,20
2024-12-30 00:00:00+00:00,21
2024-12-31 00:00:00+00:00,22
2025-01-30 00:00:00+00:00,23
2025-02-27 00:00:00+00:00,24
