time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,1,1,1,1
2026-01-25 00:00:00+00:00,2,2,2,2
2026-01-26 00:00:00+00:00,6,4,25,4
2026-01-27 00:00:00+00:00,4,3,19,8
2026-01-28 00:00:00+00:00,1,1,5,2
2026-01-29 00:00:00+00:00,4,4,8,1
2026-01-30 00:00:00+00:00,5,4,9,5
2026-01-31 00:00:00+00:00,2,2,8,1
2026-02-01 00:00:00+00:00,2,2,0,0
2026-02-02 00:00:00+00:00,4,4,13,4
2026-02-03 00:00:00+00:00,1,1,25,5
2026-02-04 00:00:00+00:00,3,3,32,4
2026-02-05 00:00:00+00:00,2,2,12,5
2026-02-06 00:00:00+00:00,2,2,8,3
