time_iso8601,stars_cumulative
2021-01-06 00:00:00+00:00,1
2021-12-15 00:00:00+00:00,3
2021-12-16 00:00:00+00:00,4
2021-12-20 00:00:00+00:00,5
2022-01-01 00:00:00+00:00,6
2022-02-14 00:00:00+00:00,7
2022-03-01 00:00:00+00:00,8
2022-03-03 00:00:00+00:00,9
2022-03-05 00:00:00+00:00,12
2022-03-10 00:00:00+00:00,13
2022-05-17 00:00:00+00:00,14
2022-10-20 00:00:00+00:00,15
2022-10-21 00:00:00+00:00,16
2022-10-22 00:00:00+00:00,17
2022-10-24 00:00:00+00:00,18
2022-10-26 00:00:00+00:00,19
2022-10-28 00:00:00+00:00,20
2022-10-30 00:00:00+00:00,21
2022-11-07 00:00:00+00:00,22
2022-11-10 00:00:00+00:00,23
2022-11-22 00:00:00+00:00,24
2022-12-18 00:00:00+00:00,25
2023-01-04 00:00:00+00:00,26
2023-01-05 00:00:00+00:00,27
2023-01-19 00:00:00+00:00,30
2023-01-21 00:00:00+00:00,31
2023-02-13 00:00:00+00:00,32
2023-02-16 00:00:00+00:00,33
2023-02-26 00:00:00+00:00,34
2023-04-11 00:00:00+00:00,35
2023-04-15 00:00:00+00:00,37
2023-04-18 00:00:00+00:00,41
2023-04-27 00:00:00+00:00,43
2023-05-10 00:00:00+00:00,45
2023-07-04 00:00:00+00:00,46
2023-07-12 00:00:00+00:00,47
2023-07-17 00:00:00+00:00,53
2023-07-19 00:00:00+00:00,54
2023-08-01 00:00:00+00:00,55
2023-08-07 00:00:00+00:00,56
2023-08-09 00:00:00+00:00,57
2023-08-10 00:00:00+00:00,58
2023-08-16 00:00:00+00:00,59
2023-08-17 00:00:00+00:00,60
2023-08-28 00:00:00+00:00,61
2023-09-06 00:00:00+00:00,62
2023-09-14 00:00:00+00:00,66
2023-09-27 00:00:00+00:00,67
2023-10-04 00:00:00+00:00,69
2023-11-01 00:00:00+00:00,70
2023-11-11 00:00:00+00:00,71
2023-11-13 00:00:00+00:00,72
2024-01-11 00:00:00+00:00,73
2024-01-16 00:00:00+00:00,74
2024-02-12 00:00:00+00:00,75
2024-02-21 00:00:00+00:00,79
2024-02-23 00:00:00+00:00,81
2024-04-11 00:00:00+00:00,82
2024-04-19 00:00:00+00:00,83
2024-04-21 00:00:00+00:00,84
2024-05-01 00:00:00+00:00,85
2024-05-16 00:00:00+00:00,86
2024-06-23 00:00:00+00:00,87
2024-07-29 00:00:00+00:00,90
2024-08-15 00:00:00+00:00,91
2024-08-30 00:00:00+00:00,92
2024-09-03 00:00:00+00:00,93
2024-09-04 00:00:00+00:00,96
2024-09-16 00:00:00+00:00,97
2024-11-17 00:00:00+00:00,98
2024-11-21 00:00:00+00:00,99
2024-12-30 00:00:00+00:00,100
2024-12-31 00:00:00+00:00,101
2025-01-22 00:00:00+00:00,102
2025-02-04 00:00:00+00:00,103
2025-02-18 00:00:00+00:00,104
2025-05-05 00:00:00+00:00,105
2025-05-13 00:00:00+00:00,106
2025-05-26 00:00:00+00:00,107
2025-06-26 00:00:00+00:00,108
2025-07-15 00:00:00+00:00,109
2025-07-21 00:00:00+00:00,110
2025-08-23 00:00:00+00:00,112
2025-08-28 00:00:00+00:00,113
2025-10-29 00:00:00+00:00,114
2025-12-06 00:00:00+00:00,116
2025-12-24 00:00:00+00:00,117
2026-01-17 00:00:00+00:00,118
2026-01-29 00:00:00+00:00,119
2026-02-13 00:00:00+00:00,120
