time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,0,0,19,5
2024-10-23 00:00:00+00:00,0,0,40,8
2024-10-24 00:00:00+00:00,2,2,33,5
2024-10-25 00:00:00+00:00,0,0,25,4
2024-10-26 00:00:00+00:00,0,0,3,3
2024-10-27 00:00:00+00:00,0,0,2,2
2024-10-28 00:00:00+00:00,0,0,6,4
2024-10-29 00:00:00+00:00,0,0,42,10
2024-10-30 00:00:00+00:00,0,0,21,4
2024-10-31 00:00:00+00:00,0,0,28,4
2024-11-01 00:00:00+00:00,0,0,1,1
2024-11-02 00:00:00+00:00,0,0,13,3
2024-11-03 00:00:00+00:00,0,0,7,3
2024-11-04 00:00:00+00:00,1,1,15,5
2024-11-06 00:00:00+00:00,0,0,19,3
2024-11-07 00:00:00+00:00,0,0,42,3
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,2,2,6,6
2024-11-12 00:00:00+00:00,1,1,7,6
2024-11-13 00:00:00+00:00,1,1,29,9
2024-11-14 00:00:00+00:00,2,2,29,10
2024-11-15 00:00:00+00:00,0,0,9,1
2024-11-16 00:00:00+00:00,1,1,16,4
2024-11-17 00:00:00+00:00,0,0,28,6
2024-11-18 00:00:00+00:00,1,1,67,6
2024-11-19 00:00:00+00:00,0,0,2,1
2024-11-20 00:00:00+00:00,2,2,44,6
2024-11-21 00:00:00+00:00,0,0,54,35
2024-11-22 00:00:00+00:00,0,0,47,17
2024-11-23 00:00:00+00:00,1,1,81,5
2024-11-24 00:00:00+00:00,0,0,6,3
2024-11-25 00:00:00+00:00,0,0,15,7
2024-11-26 00:00:00+00:00,0,0,23,6
2024-11-27 00:00:00+00:00,0,0,2,2
2024-11-28 00:00:00+00:00,0,0,56,7
2024-11-29 00:00:00+00:00,0,0,46,16
2024-11-30 00:00:00+00:00,0,0,1,1
