time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-28 00:00:00+00:00,4,4,0,0
2026-03-01 00:00:00+00:00,2,2,0,0
2026-03-02 00:00:00+00:00,3,3,67,1
2026-03-03 00:00:00+00:00,26,13,20,3
2026-03-04 00:00:00+00:00,21,8,0,0
2026-03-05 00:00:00+00:00,20,13,0,0
2026-03-06 00:00:00+00:00,21,4,0,0
2026-03-07 00:00:00+00:00,4,4,0,0
2026-03-08 00:00:00+00:00,6,5,0,0
2026-03-09 00:00:00+00:00,13,8,0,0
2026-03-10 00:00:00+00:00,14,8,0,0
2026-03-11 00:00:00+00:00,3,3,1,1
2026-03-12 00:00:00+00:00,17,5,0,0
2026-03-13 00:00:00+00:00,10,8,0,0
