time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,1,1,0,0
2024-10-28 00:00:00+00:00,1,1,0,0
2024-10-29 00:00:00+00:00,0,0,10,1
2024-10-30 00:00:00+00:00,1,1,0,0
2024-11-04 00:00:00+00:00,1,1,0,0
2024-11-06 00:00:00+00:00,18,2,19,3
2024-11-07 00:00:00+00:00,0,0,2,2
2024-11-08 00:00:00+00:00,119,4,49,3
2024-11-11 00:00:00+00:00,18,2,3,1
2024-11-12 00:00:00+00:00,1,1,0,0
2024-11-13 00:00:00+00:00,17,2,1,1
2024-11-14 00:00:00+00:00,1,1,0,0
2024-11-15 00:00:00+00:00,17,2,0,0
2024-11-16 00:00:00+00:00,0,0,1,1
2024-11-18 00:00:00+00:00,4,3,1,1
2024-11-19 00:00:00+00:00,1,1,0,0
2024-11-20 00:00:00+00:00,1,1,3,2
2024-11-21 00:00:00+00:00,20,4,8,2
2024-11-22 00:00:00+00:00,1,1,0,0
2024-11-23 00:00:00+00:00,0,0,1,1
2024-11-24 00:00:00+00:00,1,1,5,1
2024-11-25 00:00:00+00:00,2,1,6,1
2024-11-26 00:00:00+00:00,1,1,5,2
2024-11-27 00:00:00+00:00,1,1,7,2
2024-11-28 00:00:00+00:00,1,1,0,0
2024-11-29 00:00:00+00:00,1,1,0,0
