time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-17 00:00:00+00:00,,,10,7
2024-11-18 00:00:00+00:00,3.0,1.0,60,14
2024-11-19 00:00:00+00:00,56.0,3.0,109,14
2024-11-20 00:00:00+00:00,82.0,3.0,146,17
2024-11-21 00:00:00+00:00,8.0,5.0,54,19
2024-11-22 00:00:00+00:00,18.0,2.0,75,8
2024-11-23 00:00:00+00:00,,,8,6
2024-11-24 00:00:00+00:00,2.0,2.0,12,5
2024-11-25 00:00:00+00:00,3.0,1.0,81,19
2024-11-26 00:00:00+00:00,42.0,7.0,89,21
2024-11-27 00:00:00+00:00,50.0,2.0,73,23
2024-11-28 00:00:00+00:00,13.0,1.0,42,12
2024-11-29 00:00:00+00:00,18.0,3.0,36,5
2024-11-30 00:00:00+00:00,2.0,2.0,5,3
