time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-22 00:00:00+00:00,0,0,9,5
2024-10-23 00:00:00+00:00,2,1,43,12
2024-10-24 00:00:00+00:00,55,4,107,26
2024-10-25 00:00:00+00:00,32,3,44,13
2024-10-26 00:00:00+00:00,0,0,5,5
2024-10-27 00:00:00+00:00,1,1,18,6
2024-10-28 00:00:00+00:00,0,0,18,10
2024-10-29 00:00:00+00:00,9,3,50,9
2024-10-30 00:00:00+00:00,3,2,60,10
2024-10-31 00:00:00+00:00,13,2,19,8
2024-11-01 00:00:00+00:00,25,1,25,6
2024-11-02 00:00:00+00:00,0,0,4,4
2024-11-03 00:00:00+00:00,1,1,9,7
2024-11-04 00:00:00+00:00,1,1,102,18
2024-11-05 00:00:00+00:00,1,1,71,17
2024-11-06 00:00:00+00:00,2,2,37,16
2024-11-07 00:00:00+00:00,41,2,84,16
2024-11-08 00:00:00+00:00,3,1,31,13
2024-11-09 00:00:00+00:00,3,3,9,5
2024-11-10 00:00:00+00:00,0,0,6,3
2024-11-11 00:00:00+00:00,0,0,31,11
2024-11-12 00:00:00+00:00,13,2,162,20
2024-11-13 00:00:00+00:00,13,1,91,16
2024-11-14 00:00:00+00:00,36,4,64,15
2024-11-15 00:00:00+00:00,2,2,20,6
2024-11-16 00:00:00+00:00,1,1,17,5
2024-11-17 00:00:00+00:00,0,0,10,7
2024-11-18 00:00:00+00:00,3,1,60,14
2024-11-19 00:00:00+00:00,56,3,109,14
2024-11-20 00:00:00+00:00,82,3,146,17
2024-11-21 00:00:00+00:00,8,5,54,19
2024-11-22 00:00:00+00:00,18,2,75,8
2024-11-23 00:00:00+00:00,0,0,8,6
2024-11-24 00:00:00+00:00,2,2,12,5
2024-11-25 00:00:00+00:00,3,1,81,19
2024-11-26 00:00:00+00:00,42,7,89,21
2024-11-27 00:00:00+00:00,50,2,73,23
2024-11-28 00:00:00+00:00,13,1,42,12
2024-11-29 00:00:00+00:00,18,3,36,5
2024-11-30 00:00:00+00:00,2,2,5,3
2024-12-01 00:00:00+00:00,0,0,4,2
2024-12-02 00:00:00+00:00,37,2,83,17
2024-12-03 00:00:00+00:00,75,1,124,24
2024-12-04 00:00:00+00:00,144,5,125,16
2024-12-05 00:00:00+00:00,120,6,149,16
2024-12-06 00:00:00+00:00,24,1,146,12
2024-12-07 00:00:00+00:00,3,2,8,6
2024-12-08 00:00:00+00:00,0,0,4,4
2024-12-09 00:00:00+00:00,55,3,93,18
2024-12-10 00:00:00+00:00,18,2,152,17
2024-12-11 00:00:00+00:00,95,4,144,16
2024-12-12 00:00:00+00:00,35,5,134,12
2024-12-13 00:00:00+00:00,24,1,66,11
2024-12-14 00:00:00+00:00,0,0,4,3
2024-12-15 00:00:00+00:00,1,1,8,5
2024-12-16 00:00:00+00:00,24,1,66,17
2024-12-17 00:00:00+00:00,13,1,69,15
2024-12-18 00:00:00+00:00,65,2,44,5
2024-12-19 00:00:00+00:00,17,2,54,11
2024-12-20 00:00:00+00:00,0,0,71,6
2024-12-21 00:00:00+00:00,1,1,7,4
2024-12-22 00:00:00+00:00,0,0,2,2
2024-12-23 00:00:00+00:00,0,0,13,8
2024-12-24 00:00:00+00:00,0,0,24,7
2024-12-25 00:00:00+00:00,2,2,2,2
2024-12-26 00:00:00+00:00,0,0,4,4
2024-12-27 00:00:00+00:00,21,4,41,7
2024-12-28 00:00:00+00:00,0,0,2,2
2024-12-29 00:00:00+00:00,1,1,1,1
2024-12-30 00:00:00+00:00,0,0,26,10
2024-12-31 00:00:00+00:00,8,1,34,8
2025-01-01 00:00:00+00:00,1,1,2,2
2025-01-02 00:00:00+00:00,71,3,86,11
2025-01-03 00:00:00+00:00,51,3,93,11
2025-01-04 00:00:00+00:00,1,1,9,4
