time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,13,9,0,0
2026-06-14 00:00:00+00:00,11,9,0,0
2026-06-15 00:00:00+00:00,15,11,1,1
2026-06-16 00:00:00+00:00,10,8,0,0
2026-06-17 00:00:00+00:00,8,7,1,1
2026-06-18 00:00:00+00:00,5,5,0,0
2026-06-19 00:00:00+00:00,5,5,0,0
2026-06-20 00:00:00+00:00,7,6,0,0
2026-06-21 00:00:00+00:00,55,19,1,1
2026-06-22 00:00:00+00:00,4,3,2,1
2026-06-23 00:00:00+00:00,6,4,0,0
2026-06-24 00:00:00+00:00,11,5,2,2
2026-06-25 00:00:00+00:00,37,12,0,0
2026-06-26 00:00:00+00:00,4,4,0,0
