time_iso8601,stars_cumulative
2020-04-08 00:00:00+00:00,1
2020-04-30 00:00:00+00:00,2
2020-05-01 00:00:00+00:00,3
2020-06-24 00:00:00+00:00,4
2020-08-21 00:00:00+00:00,5
2020-09-06 00:00:00+00:00,6
2020-09-10 00:00:00+00:00,7
2020-09-22 00:00:00+00:00,8
2020-12-14 00:00:00+00:00,9
2021-02-16 00:00:00+00:00,11
2021-02-17 00:00:00+00:00,12
2021-03-04 00:00:00+00:00,13
2021-03-09 00:00:00+00:00,14
2021-04-05 00:00:00+00:00,15
2021-04-18 00:00:00+00:00,16
2021-06-18 00:00:00+00:00,17
2021-07-27 00:00:00+00:00,18
