time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-23 00:00:00+00:00,1,1,5,3
2024-10-24 00:00:00+00:00,2,2,1,1
2024-10-27 00:00:00+00:00,0,0,1,1
2024-10-28 00:00:00+00:00,2,1,1,1
2024-10-30 00:00:00+00:00,1,1,2,2
2024-10-31 00:00:00+00:00,0,0,2,2
2024-11-01 00:00:00+00:00,237,2,0,0
2024-11-02 00:00:00+00:00,299,6,7,2
2024-11-04 00:00:00+00:00,259,7,20,2
2024-11-05 00:00:00+00:00,0,0,9,3
2024-11-06 00:00:00+00:00,2,2,1,1
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-09 00:00:00+00:00,1,1,2,1
2024-11-10 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,2,1,0,0
2024-11-12 00:00:00+00:00,2,2,5,3
2024-11-13 00:00:00+00:00,1,1,2,2
2024-11-16 00:00:00+00:00,0,0,3,3
2024-11-18 00:00:00+00:00,2,1,0,0
2024-11-19 00:00:00+00:00,0,0,1,1
2024-11-20 00:00:00+00:00,1,1,1,1
2024-11-21 00:00:00+00:00,0,0,16,1
2024-11-22 00:00:00+00:00,1,1,3,2
2024-11-23 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,2,1,5,4
2024-11-27 00:00:00+00:00,1,1,8,6
2024-11-29 00:00:00+00:00,0,0,4,2
2024-12-01 00:00:00+00:00,193,5,0,0
2024-12-02 00:00:00+00:00,434,12,26,2
2024-12-03 00:00:00+00:00,2,2,2,2
2024-12-04 00:00:00+00:00,1,1,5,3
2024-12-05 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,1,1,1,1
2024-12-07 00:00:00+00:00,1,1,0,0
