time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,7,5,1,1
2026-05-31 00:00:00+00:00,2,2,1,1
2026-06-01 00:00:00+00:00,39,15,3,2
2026-06-02 00:00:00+00:00,78,27,0,0
2026-06-03 00:00:00+00:00,7,7,0,0
2026-06-04 00:00:00+00:00,3,3,0,0
2026-06-05 00:00:00+00:00,21,10,4,1
2026-06-06 00:00:00+00:00,4,3,2,2
2026-06-07 00:00:00+00:00,2,2,2,1
2026-06-08 00:00:00+00:00,5,4,2,2
2026-06-09 00:00:00+00:00,3,3,0,0
2026-06-10 00:00:00+00:00,6,5,0,0
2026-06-11 00:00:00+00:00,10,8,0,0
2026-06-12 00:00:00+00:00,2,2,2,1
