time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-01 00:00:00+00:00,235,45,107,3
2025-08-02 00:00:00+00:00,5,4,0,0
2025-08-03 00:00:00+00:00,0,0,2,1
2025-08-04 00:00:00+00:00,27,6,49,4
2025-08-05 00:00:00+00:00,15,5,16,2
2025-08-06 00:00:00+00:00,3,3,3,1
2025-08-07 00:00:00+00:00,41,7,38,4
2025-08-08 00:00:00+00:00,31,9,36,4
2025-08-09 00:00:00+00:00,4,3,0,0
2025-08-10 00:00:00+00:00,1,1,1,1
2025-08-11 00:00:00+00:00,2,2,1,1
2025-08-12 00:00:00+00:00,4,4,1,1
2025-08-13 00:00:00+00:00,2,2,1,1
2025-08-14 00:00:00+00:00,1,1,1,1
2025-08-15 00:00:00+00:00,2,2,2,1
2025-08-16 00:00:00+00:00,3,3,0,0
2025-08-17 00:00:00+00:00,3,2,0,0
2025-08-18 00:00:00+00:00,20,8,36,5
2025-08-19 00:00:00+00:00,25,10,23,5
2025-08-20 00:00:00+00:00,69,19,85,9
2025-08-21 00:00:00+00:00,4,3,12,3
2025-08-22 00:00:00+00:00,2,2,7,5
2025-08-23 00:00:00+00:00,1,1,1,1
2025-08-24 00:00:00+00:00,1,1,1,1
2025-08-25 00:00:00+00:00,6,5,23,5
2025-08-26 00:00:00+00:00,1,1,2,2
2025-08-27 00:00:00+00:00,28,9,45,4
2025-08-28 00:00:00+00:00,2,2,9,2
2025-08-29 00:00:00+00:00,1,1,4,2
2025-08-30 00:00:00+00:00,1,1,0,0
